y,x1,x2,x3,x4,x5,x6
2830,R200 ,R233 ,16857.37,0.98,86011,9
2831,R200 ,R206 ,13699.62,0.8,82986,9
2840,R400 ,R455 ,20786.26,1.21,84895,2
2843,R300 ,R349 ,17118.33,1,85989,4
2844,R400 ,R455 ,15425.05,0.9,83289,2
2845,R400 ,R411 ,17259.75,1.01,83326,3
2847,R400 ,R424 ,19538.61,1.14,86329,2
2848,R300 ,R349 ,13042.3,0.76,87087,4
2850,R400 ,R423 ,14194.74,0.83,49455,2
2851,R100 ,R173 ,14938.5,0.87,85416,5
2853,R400 ,R450 ,13751.56,0.8,86202,2
2855,R200 ,R231 ,23567.67,1.37,87616,9
2857,R100 ,R161 ,18571.01,1.08,85375,10
2860,R100 ,R112 ,14876.32,0.87,79532,5
2865,R300 ,R304 ,11109.83,0.65,82010,6
2867,R400 ,R453 ,12625.36,0.74,80000,3
2868,R300 ,R311 ,8076.43,0.47,81752,6
2870,R200 ,R257 ,31340,1.83,0,9
2871,R200 ,R261 ,11190.52,0.65,50000,9
3200,R100 ,R126 ,2018.34,0.12,12067,5
3201,R200 ,R210 ,1221.53,0.07,8137,9
3202,R200 ,R211 ,787.98,0.05,4762,9
3203,R200 ,R212 ,1577.67,0.09,9712,9
3204,R100 ,R163 ,1204.56,0.07,7819,5
3205,R200 ,R201 ,1622.35,0.09,9555,9
3206,R400 ,R462 ,2106.23,0.12,11683,3
3207,R100 ,R116 ,1450.92,0.08,12189,5
3208,R100 ,R116 ,1691.28,0.1,129000,5
3210,R400 ,R412 ,2075.48,0.12,11362,3
3211,R400 ,R412 ,1689.44,0.1,7450,3
3212,R400 ,R462 ,1521.78,0.09,10594,3
3214,R100 ,R116 ,1771.57,0.1,12560,5
3216,R200 ,R204 ,1279.47,0.07,11017,9
3217,R200 ,R204 ,2606.84,0.15,13776,9
3218,R200 ,R219 ,2980.91,0.17,18948,9
3219,R100 ,R145 ,1809.48,0.11,11937,5
3221,R100 ,R116 ,1781.38,0.1,15806,5
3222,R400 ,R429 ,1653.52,0.1,10403,1
3223,R400 ,R429 ,1383.63,0.08,9955,1
3224,R200 ,R233 ,2200.74,0.13,13280,9
3225,R200 ,R207 ,2690.44,0.16,21625,9
3226,R400 ,R429 ,1262.9,0.07,8196,1
3227,R400 ,R462 ,2603.03,0.15,18900,3
3229,R400 ,R423 ,2800.6,0.16,24167,2
3230,R400 ,R469 ,1471.29,0.09,10521,2
3233,R200 ,R202 ,1766.29,0.1,9700,9
3234,R400 ,R430 ,2123.94,0.12,13923,3
3235,R400 ,R451 ,4530.29,0.26,29059,2
3236,R400 ,R455 ,3341.1,0.19,29809,2
3237,R400 ,R469 ,1859.54,0.11,15806,2
3238,R300 ,R324 ,1680.59,0.1,11545,4
3239,R100 ,R101 ,1831.61,0.11,11100,5
3240,R200 ,R212 ,2975.19,0.17,31988,9
3241,R300 ,R372 ,1797.86,0.1,7500,4
3242,R400 ,R448 ,3059.54,0.18,18745,3
3243,R400 ,R423 ,2207.15,0.13,21600,2
3244,R100 ,R169 ,2485.25,0.14,16500,5
3247,R400 ,R421 ,5296.14,0.31,32664,3
3249,R400 ,R423 ,1605.65,0.09,14249,2
3250,R300 ,R322 ,903.51,0.05,11000,6
3251,R200 ,R236 ,2025.36,0.12,14200,9
3252,R100 ,R141 ,1802.91,0.11,20300,5
3253,R400 ,R452 ,3975.59,0.23,31000,1
3254,R100 ,R172 ,1945.21,0.11,9128,5
3255,R300 ,R372 ,1356.87,0.08,11300,4
3258,R200 ,R222 ,4202.41,0.25,25046,9
3259,R400 ,R455 ,4858.49,0.28,31369,2
3261,R300 ,R375 ,4091.49,0.24,31050,9
3262,R200 ,R236 ,3376.77,0.2,20225,9
3263,R400 ,R462 ,2252.46,0.13,20262,3
3264,R200 ,R210 ,2131.68,0.12,17000,9
3265,R200 ,R210 ,3463.55,0.2,29965,9
3267,R200 ,R211 ,1207.94,0.07,13000,9
3270,R100 ,R141 ,1616.55,0.09,12400,5
3273,R300 ,R348 ,2686.86,0.16,19200,4
3274,R200 ,R244 ,3067.18,0.18,25700,9
3276,R400 ,R423 ,1044.2,0.06,12400,2
3277,R400 ,R423 ,2645.38,0.15,22496,2
3279,R100 ,R175 ,1627.21,0.09,12100,8
3281,R200 ,R258 ,1604.14,0.09,17230,10
